seconds,date,hr_rmssd
115.486,2023-04-23 18:12:33.253,86.9
157.482,2023-04-23 18:13:15.249,121.8
222.475,2023-04-23 18:14:20.242,116.9
291.465,2023-04-23 18:15:29.232,99.2
435.448,2023-04-23 18:17:53.215,117.8
512.439,2023-04-23 18:19:10.206,105.2
644.423,2023-04-23 18:21:22.190,132.3
779.432,2023-04-23 18:23:37.199,128.2
872.396,2023-04-23 18:25:10.163,144.2
929.39,2023-04-23 18:26:07.157,110.8
962.385,2023-04-23 18:26:40.152,74.7
994.291,2023-04-23 18:27:12.058,96.7
1029.548,2023-04-23 18:27:47.315,101.2
1062.08,2023-04-23 18:28:19.847,66.9
1093.256,2023-04-23 18:28:51.023,81.4
1130.365,2023-04-23 18:29:28.132,90.9
1163.361,2023-04-23 18:30:01.128,65.3
1187.359,2023-04-23 18:30:25.126,63.3
1211.854,2023-04-23 18:30:49.621,65.9
1234.115,2023-04-23 18:31:11.882,95.4
1264.14,2023-04-23 18:31:41.907,107.4
1294.055,2023-04-23 18:32:11.822,49.7
1318.344,2023-04-23 18:32:36.111,63.9
1346.953,2023-04-23 18:33:04.720,50.3
1373.337,2023-04-23 18:33:31.104,69.2
1401.779,2023-04-23 18:33:59.546,59.8
1428.734,2023-04-23 18:34:26.501,50.4
1453.703,2023-04-23 18:34:51.470,50.2
1481.325,2023-04-23 18:35:19.092,51.0
1508.821,2023-04-23 18:35:46.588,55.4
1533.818,2023-04-23 18:36:11.585,48.6
1560.235,2023-04-23 18:36:38.002,51.9
1589.812,2023-04-23 18:37:07.579,35.5
1615.809,2023-04-23 18:37:33.576,66.5
1642.806,2023-04-23 18:38:00.573,65.9
1670.804,2023-04-23 18:38:28.571,54.5
1695.799,2023-04-23 18:38:53.566,61.1
1723.796,2023-04-23 18:39:21.563,44.5
1753.655,2023-04-23 18:39:51.422,60.9
1783.789,2023-04-23 18:40:21.556,60.6
1813.786,2023-04-23 18:40:51.553,53.3
1845.781,2023-04-23 18:41:23.548,62.3
1874.641,2023-04-23 18:41:52.408,58.1
1902.775,2023-04-23 18:42:20.542,51.3
1930.56,2023-04-23 18:42:48.327,50.2
1960.769,2023-04-23 18:43:18.536,66.5
1987.766,2023-04-23 18:43:45.533,53.5
2017.763,2023-04-23 18:44:15.530,52.9
2046.758,2023-04-23 18:44:44.525,46.4
2074.691,2023-04-23 18:45:12.458,58.4
2108.752,2023-04-23 18:45:46.519,39.3
2132.749,2023-04-23 18:46:10.516,57.4
2161.745,2023-04-23 18:46:39.512,56.6
2190.332,2023-04-23 18:47:08.099,81.2
2217.739,2023-04-23 18:47:35.506,89.1
2246.209,2023-04-23 18:48:03.976,93.5
2275.732,2023-04-23 18:48:33.499,38.7
2308.729,2023-04-23 18:49:06.496,70.9
2342.363,2023-04-23 18:49:40.130,44.5
2377.283,2023-04-23 18:50:15.050,57.3
2409.716,2023-04-23 18:50:47.483,65.4
2444.712,2023-04-23 18:51:22.479,71.3
2499.172,2023-04-23 18:52:16.939,53.5
2535.254,2023-04-23 18:52:53.021,61.0
2562.698,2023-04-23 18:53:20.465,73.1
2602.28,2023-04-23 18:54:00.047,66.0
2629.691,2023-04-23 18:54:27.458,53.5
2653.111,2023-04-23 18:54:50.878,67.7
2683.244,2023-04-23 18:55:21.011,68.5
2714.304,2023-04-23 18:55:52.071,70.4
2743.258,2023-04-23 18:56:21.025,75.5
2770.222,2023-04-23 18:56:47.989,76.2
2802.147,2023-04-23 18:57:19.914,69.2
2827.651,2023-04-23 18:57:45.418,56.2
2853.665,2023-04-23 18:58:11.432,73.3
2881.661,2023-04-23 18:58:39.428,73.7
2913.658,2023-04-23 18:59:11.425,68.1
2944.265,2023-04-23 18:59:42.032,66.1
2976.827,2023-04-23 19:00:14.594,52.6
3010.647,2023-04-23 19:00:48.414,58.6
3045.236,2023-04-23 19:01:23.003,44.6
3076.799,2023-04-23 19:01:54.566,73.4
3107.636,2023-04-23 19:02:25.403,79.3
3138.632,2023-04-23 19:02:56.399,65.5
3164.629,2023-04-23 19:03:22.396,43.4
3190.546,2023-04-23 19:03:48.313,49.7
3219.623,2023-04-23 19:04:17.390,65.2
3252.619,2023-04-23 19:04:50.386,77.7
3289.274,2023-04-23 19:05:27.041,78.9
3321.744,2023-04-23 19:05:59.511,92.5
3373.605,2023-04-23 19:06:51.372,74.8
3410.704,2023-04-23 19:07:28.471,78.8
3437.598,2023-04-23 19:07:55.365,90.8
3481.92,2023-04-23 19:08:39.687,85.8
3524.587,2023-04-23 19:09:22.354,86.3
3590.052,2023-04-23 19:10:27.819,65.7
3716.022,2023-04-23 19:12:33.789,76.4
3741.563,2023-04-23 19:12:59.330,41.6
3775.17,2023-04-23 19:13:32.937,101.9
3826.555,2023-04-23 19:14:24.322,96.2
3925.036,2023-04-23 19:16:02.803,63.0
3952.155,2023-04-23 19:16:29.922,67.0
3974.536,2023-04-23 19:16:52.303,69.0
4001.533,2023-04-23 19:17:19.300,67.1
4028.531,2023-04-23 19:17:46.298,54.3
4052.527,2023-04-23 19:18:10.294,46.9
4079.525,2023-04-23 19:18:37.292,43.0
4103.927,2023-04-23 19:19:01.694,46.3
4132.52,2023-04-23 19:19:30.287,46.1
4160.516,2023-04-23 19:19:58.283,59.5
4188.885,2023-04-23 19:20:26.652,55.2
4213.509,2023-04-23 19:20:51.276,41.6
4238.343,2023-04-23 19:21:16.110,52.2
4263.264,2023-04-23 19:21:41.031,55.1
4290.5,2023-04-23 19:22:08.267,62.5
4319.496,2023-04-23 19:22:37.263,77.2
4344.972,2023-04-23 19:23:02.739,57.0
4373.49,2023-04-23 19:23:31.257,57.5
4405.227,2023-04-23 19:24:02.994,42.4
4426.918,2023-04-23 19:24:24.685,57.2
4454.16,2023-04-23 19:24:51.927,48.7
4479.848,2023-04-23 19:25:17.615,59.6
4505.918,2023-04-23 19:25:43.685,66.5
4534.169,2023-04-23 19:26:11.936,59.5
4562.187,2023-04-23 19:26:39.954,57.6
4592.465,2023-04-23 19:27:10.232,55.0
4614.82,2023-04-23 19:27:32.587,49.5
4642.459,2023-04-23 19:28:00.226,50.0
4665.773,2023-04-23 19:28:23.540,59.3
4691.454,2023-04-23 19:28:49.221,52.4
4719.161,2023-04-23 19:29:16.928,59.7
4742.447,2023-04-23 19:29:40.214,55.2
4768.775,2023-04-23 19:30:06.542,65.9
4793.944,2023-04-23 19:30:31.711,62.9
4821.439,2023-04-23 19:30:59.206,67.1
4848.197,2023-04-23 19:31:25.964,61.7
4872.333,2023-04-23 19:31:50.100,52.3
4897.101,2023-04-23 19:32:14.868,63.2
4921.427,2023-04-23 19:32:39.194,53.9
4946.173,2023-04-23 19:33:03.940,66.5
4970.421,2023-04-23 19:33:28.188,60.7
4994.111,2023-04-23 19:33:51.878,54.7
5018.416,2023-04-23 19:34:16.183,43.3
5041.413,2023-04-23 19:34:39.180,44.7
5065.062,2023-04-23 19:35:02.829,50.2
5089.119,2023-04-23 19:35:26.886,42.2
5113.808,2023-04-23 19:35:51.575,50.2
5137.755,2023-04-23 19:36:15.522,54.2
5162.404,2023-04-23 19:36:40.171,32.5
5186.396,2023-04-23 19:37:04.163,52.8
5212.393,2023-04-23 19:37:30.160,46.6
5238.391,2023-04-23 19:37:56.158,54.8
5266.388,2023-04-23 19:38:24.155,46.2
5292.782,2023-04-23 19:38:50.549,58.1
5319.751,2023-04-23 19:39:17.518,44.4
5343.378,2023-04-23 19:39:41.145,51.0
5370.374,2023-04-23 19:40:08.141,59.6
5395.372,2023-04-23 19:40:33.139,56.3
5419.368,2023-04-23 19:40:57.135,55.1
5443.801,2023-04-23 19:41:21.568,56.7
5473.823,2023-04-23 19:41:51.590,27.3
5503.871,2023-04-23 19:42:21.638,35.0
5537.355,2023-04-23 19:42:55.122,47.0
5568.352,2023-04-23 19:43:26.119,72.5
5605.578,2023-04-23 19:44:03.345,61.1
5630.826,2023-04-23 19:44:28.593,77.2
5662.822,2023-04-23 19:45:00.589,82.7
5694.337,2023-04-23 19:45:32.104,36.6
5726.498,2023-04-23 19:46:04.265,73.0
5768.328,2023-04-23 19:46:46.095,53.7
5792.326,2023-04-23 19:47:10.093,62.7
5816.323,2023-04-23 19:47:34.090,69.1
5842.32,2023-04-23 19:48:00.087,71.1
5870.8,2023-04-23 19:48:28.567,76.6
5909.369,2023-04-23 19:49:07.136,83.4
5941.309,2023-04-23 19:49:39.076,64.0
5974.88,2023-04-23 19:50:12.647,67.8
6009.301,2023-04-23 19:50:47.068,87.0
6039.298,2023-04-23 19:51:17.065,75.7
6069.808,2023-04-23 19:51:47.575,66.9
6097.291,2023-04-23 19:52:15.058,84.2
6131.287,2023-04-23 19:52:49.054,73.4
6166.282,2023-04-23 19:53:24.049,72.3
6192.745,2023-04-23 19:53:50.512,60.0
6217.783,2023-04-23 19:54:15.550,90.1
6247.771,2023-04-23 19:54:45.538,81.0
6275.271,2023-04-23 19:55:13.038,45.2
6298.268,2023-04-23 19:55:36.035,84.3
6323.734,2023-04-23 19:56:01.501,85.4
6353.657,2023-04-23 19:56:31.424,77.7
6384.761,2023-04-23 19:57:02.528,84.2
6415.255,2023-04-23 19:57:33.022,65.4
6442.251,2023-04-23 19:58:00.018,68.3
6475.743,2023-04-23 19:58:33.510,64.3
6501.655,2023-04-23 19:58:59.422,58.8
6527.241,2023-04-23 19:59:25.008,56.4
6555.238,2023-04-23 19:59:53.005,53.9
6581.048,2023-04-23 20:00:18.815,57.3
6605.585,2023-04-23 20:00:43.352,43.2
6628.976,2023-04-23 20:01:06.743,62.0
6657.556,2023-04-23 20:01:35.323,59.1
6687.223,2023-04-23 20:02:04.990,53.8
6715.563,2023-04-23 20:02:33.330,50.0
6739.973,2023-04-23 20:02:57.740,56.3
6766.625,2023-04-23 20:03:24.392,63.4
6789.602,2023-04-23 20:03:47.369,73.5
6814.208,2023-04-23 20:04:11.975,60.6
6839.204,2023-04-23 20:04:36.971,58.9
6866.874,2023-04-23 20:05:04.641,61.6
6891.114,2023-04-23 20:05:28.881,65.2
6923.195,2023-04-23 20:06:00.962,60.2
6948.191,2023-04-23 20:06:25.958,46.7
6978.188,2023-04-23 20:06:55.955,53.8
7011.186,2023-04-23 20:07:28.953,53.1
7047.181,2023-04-23 20:08:04.948,22.2
7081.673,2023-04-23 20:08:39.440,21.4
7114.173,2023-04-23 20:09:11.940,65.0
7145.69,2023-04-23 20:09:43.457,66.8
7174.62,2023-04-23 20:10:12.387,56.4
7205.663,2023-04-23 20:10:43.430,46.9
7238.158,2023-04-23 20:11:15.925,58.0
7272.154,2023-04-23 20:11:49.921,41.1
7308.15,2023-04-23 20:12:25.917,41.4
7344.825,2023-04-23 20:13:02.592,94.1
7375.144,2023-04-23 20:13:32.911,79.4
7417.138,2023-04-23 20:14:14.905,83.2
7452.739,2023-04-23 20:14:50.506,58.0
7487.726,2023-04-23 20:15:25.493,27.8
7522.125,2023-04-23 20:15:59.892,60.7
7556.74,2023-04-23 20:16:34.507,80.1
7591.118,2023-04-23 20:17:08.885,84.1
7632.708,2023-04-23 20:17:50.475,52.4
7663.616,2023-04-23 20:18:21.383,62.4
7693.667,2023-04-23 20:18:51.434,102.3
7769.098,2023-04-23 20:20:06.865,88.4
7826.589,2023-04-23 20:21:04.356,55.1
7851.619,2023-04-23 20:21:29.386,54.6
7876.624,2023-04-23 20:21:54.391,94.0
7906.081,2023-04-23 20:22:23.848,70.9
7931.524,2023-04-23 20:22:49.291,53.5
7957.075,2023-04-23 20:23:14.842,74.7
7985.072,2023-04-23 20:23:42.839,60.7
8010.507,2023-04-23 20:24:08.274,64.5
8035.36,2023-04-23 20:24:33.127,72.0
8060.652,2023-04-23 20:24:58.419,73.0
8090.185,2023-04-23 20:25:27.952,84.2
8116.057,2023-04-23 20:25:53.824,75.8
8145.054,2023-04-23 20:26:22.821,97.4
8173.049,2023-04-23 20:26:50.816,85.7
8206.046,2023-04-23 20:27:23.813,79.2
8235.023,2023-04-23 20:27:52.790,64.9
8262.446,2023-04-23 20:28:20.213,61.9
8287.436,2023-04-23 20:28:45.203,52.8
8314.492,2023-04-23 20:29:12.259,62.6
8339.031,2023-04-23 20:29:36.798,65.6
8362.452,2023-04-23 20:30:00.219,82.9
8388.025,2023-04-23 20:30:25.792,62.5
8413.449,2023-04-23 20:30:51.216,72.1
8444.019,2023-04-23 20:31:21.786,66.2
8470.41,2023-04-23 20:31:48.177,41.6
8494.014,2023-04-23 20:32:11.781,48.8
8521.746,2023-04-23 20:32:39.513,54.2
8554.382,2023-04-23 20:33:12.149,56.8
8602.378,2023-04-23 20:34:00.145,55.7
8632.451,2023-04-23 20:34:30.218,45.7
8661.466,2023-04-23 20:34:59.233,42.4
8688.99,2023-04-23 20:35:26.757,53.3
8716.987,2023-04-23 20:35:54.754,48.9
8742.755,2023-04-23 20:36:20.522,57.1
8769.504,2023-04-23 20:36:47.271,55.2
8794.979,2023-04-23 20:37:12.746,57.5
8821.876,2023-04-23 20:37:39.643,46.5
8851.972,2023-04-23 20:38:09.739,48.8
8884.452,2023-04-23 20:38:42.219,61.7
8916.464,2023-04-23 20:39:14.231,56.5
8958.959,2023-04-23 20:39:56.726,53.9
8991.954,2023-04-23 20:40:29.721,54.4
9023.418,2023-04-23 20:41:01.185,54.0
9062.946,2023-04-23 20:41:40.713,53.2
9097.368,2023-04-23 20:42:15.135,47.1
9121.94,2023-04-23 20:42:39.707,64.5
9165.385,2023-04-23 20:43:23.152,66.9
9208.934,2023-04-23 20:44:06.701,73.8
9243.926,2023-04-23 20:44:41.693,55.4
9274.709,2023-04-23 20:45:12.476,65.3
9302.919,2023-04-23 20:45:40.686,57.0
9328.376,2023-04-23 20:46:06.143,48.5
9357.329,2023-04-23 20:46:35.096,30.4
9381.91,2023-04-23 20:46:59.677,57.4
9409.906,2023-04-23 20:47:27.673,64.1
9436.903,2023-04-23 20:47:54.670,47.1
9464.9,2023-04-23 20:48:22.667,47.6
9493.777,2023-04-23 20:48:51.544,61.7
9523.326,2023-04-23 20:49:21.093,65.0
9552.89,2023-04-23 20:49:50.657,70.4
9585.885,2023-04-23 20:50:23.652,62.1
9618.43,2023-04-23 20:50:56.197,76.3
9655.38,2023-04-23 20:51:33.147,69.3
9692.874,2023-04-23 20:52:10.641,60.6
9724.359,2023-04-23 20:52:42.126,69.9
9756.425,2023-04-23 20:53:14.192,95.0
9806.86,2023-04-23 20:54:04.627,75.7
9834.857,2023-04-23 20:54:32.624,41.3
9867.849,2023-04-23 20:55:05.616,63.9
9900.378,2023-04-23 20:55:38.145,69.0
9933.313,2023-04-23 20:56:11.080,36.5
9964.285,2023-04-23 20:56:42.052,29.8
9994.289,2023-04-23 20:57:12.056,35.2
10024.835,2023-04-23 20:57:42.602,64.3
10053.831,2023-04-23 20:58:11.598,50.8
10086.828,2023-04-23 20:58:44.595,101.0
10123.861,2023-04-23 20:59:21.628,84.8
10155.82,2023-04-23 20:59:53.587,68.7
10184.817,2023-04-23 21:00:22.584,63.5
10211.391,2023-04-23 21:00:49.158,77.6
10239.283,2023-04-23 21:01:17.050,50.7
10266.808,2023-04-23 21:01:44.575,64.4
10299.804,2023-04-23 21:02:17.571,85.2
10348.357,2023-04-23 21:03:06.124,72.3
10379.793,2023-04-23 21:03:37.560,68.6
10418.789,2023-04-23 21:04:16.556,85.2
10458.833,2023-04-23 21:04:56.600,80.6
10498.779,2023-04-23 21:05:36.546,92.5
10538.776,2023-04-23 21:06:16.543,75.5
10589.77,2023-04-23 21:07:07.537,96.4
10644.764,2023-04-23 21:08:02.531,86.9
10696.757,2023-04-23 21:08:54.524,85.6
10729.753,2023-04-23 21:09:27.520,78.9
10766.749,2023-04-23 21:10:04.516,73.2
10809.422,2023-04-23 21:10:47.189,91.0
10845.739,2023-04-23 21:11:23.506,78.6
10884.363,2023-04-23 21:12:02.130,85.1
10925.73,2023-04-23 21:12:43.497,76.9
10963.26,2023-04-23 21:13:21.027,192.1
