Game, Start, End, Period, Team, Event, Phase, Offense System, Defense System, Assist, Offense Player Number, Offense Player Name, Offense Player Position, Defense Player Number, Defense Player Name, Defense Player Position, Shooter Position, Shot Location, Home Team, Visitor Team, Possession, Important, Game System
 BERABERA vs GRANOLLERS, 00:00:00, 00:00:00, T1, GRANOLLERS, FIRST_HALF_START, OFFENSE_POSITIONAL, EQUALITY, 6:0, , , , , , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 06-O.VILA, 09-L.KOFLER, 14-O. VEGUE, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 1,false
BERABERA vs GRANOLLERS, 00:00:00, 00:00:36, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, 42, 42-C.POLONIO, lp, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 1,false
BERABERA vs GRANOLLERS, 00:00:36, 00:00:45, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 1, 01-A.DIVA, gk, RIGHT_6M, 0, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 1,false
BERABERA vs GRANOLLERS, 00:00:45, 00:00:55, T1, BERABERA, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 22, 22-J. LOIDI, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 1,false
BERABERA vs GRANOLLERS, 00:00:55, 00:01:24, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 22, 22-J. LOIDI, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:01:24, 00:01:36, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 23, 23-P.ARCOS, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:01:36, 00:01:54, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 23, 23-A.GONZALEZ, rw, 1, 01-A.DIVA, gk, RIGHT_WING, 4, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:01:54, 00:02:11, T1, BERABERA, 7M_PROVOKE, COUNTER_GOAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 17, 17-E.SOMAZA, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 01-N. WIGGINS, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 2,false
BERABERA vs GRANOLLERS, 00:02:11, 00:02:22, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, 16, 16-M. MERA, gk, 7_METERS, 4, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 16-M. MERA, 2,false
BERABERA vs GRANOLLERS, 00:02:22, 00:02:51, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 3,false
BERABERA vs GRANOLLERS, 00:02:51, 00:03:02, T1, BERABERA, SAVE, FAST_BREAK, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 1, 01-N. WIGGINS, gk, RIGHT_6M, 6, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 3,false
BERABERA vs GRANOLLERS, 00:03:02, 00:03:07, T1, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, LEFT_6M, 1, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 4,false
BERABERA vs GRANOLLERS, 00:03:07, 00:03:37, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, 1, 01-N. WIGGINS, gk, RIGHT_6M, 9, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 4,false
BERABERA vs GRANOLLERS, 00:03:37, 00:04:15, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, LEFT_WING, 10, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 5,false
BERABERA vs GRANOLLERS, 00:04:15, 00:04:31, T1, BERABERA, GOAL, FAST_BREAK, EQUALITY, 6:0, , 13, 13-L.HERNANDEZ, lb, 1, 01-N. WIGGINS, gk, LEFT_WING, 3, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 5,false
BERABERA vs GRANOLLERS, 00:04:31, 00:04:53, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 6,false
BERABERA vs GRANOLLERS, 00:04:53, 00:05:05, T1, BERABERA, FOUL_RECEIVE, FAST_BREAK, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 17, 17-E.SOMAZA, lb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 6,false
BERABERA vs GRANOLLERS, 00:05:05, 00:05:25, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, 1, 01-N. WIGGINS, gk, LEFT_6M, 3, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 6,false
BERABERA vs GRANOLLERS, 00:05:25, 00:05:54, T1, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 17, 17-E.SOMAZA, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 7,false
BERABERA vs GRANOLLERS, 00:05:54, 00:06:06, T1, BERABERA, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 7,false
BERABERA vs GRANOLLERS, 00:06:06, 00:06:34, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 17, 17-E.SOMAZA, lb, 1, 01-A.DIVA, gk, LEFT_6M, 8, 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 8,false
BERABERA vs GRANOLLERS, 00:06:34, 00:06:42, T1, BERABERA, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 15, 15-M. ECHEVERRIA, rw, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 8,false
BERABERA vs GRANOLLERS, 00:06:42, 00:07:11, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 22, 22-P.MILAGROS, lb, 18, 18-E.KARSTEN, rb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 18-E.KARSTEN, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 9,false
BERABERA vs GRANOLLERS, 00:07:11, 00:07:37, T1, GRANOLLERS, 7M_PROVOKE_SUSPENSION, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 9, 09-L.KOFLER, lp, 18, 18-E.KARSTEN, rb, , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 9,false
BERABERA vs GRANOLLERS, 00:07:37, 00:07:37, T1, BERABERA, 2_MIN, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 8,false
BERABERA vs GRANOLLERS, 00:07:37, 00:07:41, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 6:0, , 14, 14-O. VEGUE, rb, 16, 16-M. AALLA, gk, 7_METERS, 9, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 22-J. LOIDI, 16-M. AALLA, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 9,false
BERABERA vs GRANOLLERS, 00:07:41, 00:08:09, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY-5+1vs6, 6:0, , 23, 23-P.ARCOS, lb, 1, 01-N. WIGGINS, gk, RIGHT_6M, 1, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 22-J. LOIDI, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 9,false
BERABERA vs GRANOLLERS, 00:08:09, 00:08:23, T1, GRANOLLERS, GOAL, COUNTER_GOAL, SUPERIORITY-6vs5, 6:0, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, LEFT_6M, 9, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 22-J. LOIDI, 01-A.DIVA, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 10,false
BERABERA vs GRANOLLERS, 00:08:23, 00:08:47, T1, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY-5+1vs6, 6:0, , 14, 14-M.CAVO, rb, 9, 09-L.KOFLER, lp, , , 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 04-M. FERNANDES, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 10,false
BERABERA vs GRANOLLERS, 00:08:47, 00:09:02, T1, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY-5+1vs6, 6:0, , 4, 04-M. FERNANDES, lb, 23, 23-A.GONZALEZ, rw, , , 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 04-M. FERNANDES, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 10,false
BERABERA vs GRANOLLERS, 00:09:02, 00:09:21, T1, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY-5+1vs6, 6:0, , 14, 14-M.CAVO, rb, 98, 98-M. CAPDEVILA, cb, , , 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 04-M. FERNANDES, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 10,false
BERABERA vs GRANOLLERS, 00:09:21, 00:09:47, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY-5+1vs6, 6:0, , 4, 04-M. FERNANDES, lb, 1, 01-N. WIGGINS, gk, LEFT_9M, 7, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 04-M. FERNANDES, 13-L.HERNANDEZ, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 10,false
BERABERA vs GRANOLLERS, 00:09:47, 00:10:06, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 23, 23-A.GONZALEZ, rw, 1, 01-A.DIVA, gk, RIGHT_WING, 1, 15-M. ECHEVERRIA, 14-M.CAVO, 23-P.ARCOS, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 11,false
BERABERA vs GRANOLLERS, 00:10:06, 00:10:38, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 15, 15-M. ECHEVERRIA, rw, 1, 01-N. WIGGINS, gk, CENTER_6M, 8, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 11,false
BERABERA vs GRANOLLERS, 00:10:38, 00:11:12, T1, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 1, 01-A.DIVA, gk, LEFT_6M, 2, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 12,false
BERABERA vs GRANOLLERS, 00:11:12, 00:11:40, T1, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 15, 15-M. ECHEVERRIA, rw, 9, 09-L.KOFLER, lp, , , 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 98-M. CAPDEVILA, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 12,false
BERABERA vs GRANOLLERS, 00:11:40, 00:12:02, T1, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 22, 22-P.MILAGROS, lb, , , 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 12,false
BERABERA vs GRANOLLERS, 00:12:02, 00:12:13, T1, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 42, 42-C.POLONIO, lp, 1, 01-N. WIGGINS, gk, CENTER_6M, 2, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 09-L.KOFLER, 14-O. VEGUE, 01-N. WIGGINS, 28-J.CASTAÑERA, 12,false
BERABERA vs GRANOLLERS, 00:12:13, 00:12:38, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 14, 14-M.CAVO, rb, , , 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 13,false
BERABERA vs GRANOLLERS, 00:12:38, 00:12:46, T1, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 28, 28-J.CASTAÑERA, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 0, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 13,false
BERABERA vs GRANOLLERS, 00:12:46, 00:13:20, T1, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 1, 01-N. WIGGINS, gk, RIGHT_6M, 4, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 04-M. FERNANDES, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 13,false
BERABERA vs GRANOLLERS, 00:13:20, 00:13:43, T1, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, 15, 15-M. ECHEVERRIA, rw, , , 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 14,false
BERABERA vs GRANOLLERS, 00:13:43, 00:13:52, T1, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 28, 28-J.CASTAÑERA, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 6, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 14,false
BERABERA vs GRANOLLERS, 00:13:52, 00:14:04, T1, BERABERA, GOAL, FAST_BREAK, EQUALITY, 6:0, , 15, 15-M. ECHEVERRIA, rw, 1, 01-N. WIGGINS, gk, RIGHT_6M, 1, 15-M. ECHEVERRIA, 14-M.CAVO, 42-C.POLONIO, 13-L.HERNANDEZ, 01-A.DIVA, 03-E. ARROJERIA, 22-J. LOIDI, 17-E.SOMAZA, 23-A.GONZALEZ, 22-P.MILAGROS, 14-O. VEGUE, 01-N. WIGGINS, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 14,false
